team1,team2,toss_winner,winner,venue,match_type,season
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Bengaluru,League,2008
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chandigarh,League,2008
Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Delhi Daredevils,Delhi,League,2008
Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,Mumbai,League,2008
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Kolkata Knight Riders,Kolkata,League,2008
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Jaipur,League,2008
Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,Hyderabad,League,2008
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Chennai,League,2008
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Hyderabad,League,2008
Kings XI Punjab,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Chandigarh,League,2008
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Chennai,League,2008
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Bengaluru,League,2008
Mumbai Indians,Deccan Chargers,Deccan Chargers,Deccan Chargers,Mumbai,League,2008
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Chandigarh,League,2008
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Bengaluru,League,2008
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata,League,2008
Delhi Daredevils,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi Daredevils,Delhi,League,2008
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2008
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Hyderabad,League,2008
Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Chennai,League,2008
Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,Royal Challengers Bengaluru,Bengaluru,League,2008
Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2008
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Jaipur,League,2008
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Mumbai Indians,Mumbai,League,2008
Royal Challengers Bengaluru,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Bengaluru,League,2008
Chennai Super Kings,Deccan Chargers,Deccan Chargers,Deccan Chargers,Chennai,League,2008
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai,League,2008
Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Delhi,League,2008
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2008
Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2008
Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,Chennai,League,2008
Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2008
